name,longitude,latitude,key,family,genus,species,stateProvince,year,month,day,eventDate,countryCode,county
"Leptotes marina (Reakirt, 1868)",-110.809812,32.322298,813414767,Lycaenidae,Leptotes,Leptotes marina,Arizona,1984,3,23,1984-03-23,US,Pima
"Leptotes marina (Reakirt, 1868)",-110.80529,32.340705,1469551867,Lycaenidae,Leptotes,Leptotes marina,Arizona,1984,3,23,1984-03-23,US,Pima
"Leptotes marina (Reakirt, 1868)",-111.456772,31.865916,813420828,Lycaenidae,Leptotes,Leptotes marina,Arizona,1984,3,23,1984-03-23,US,Pima
"Leptotes marina (Reakirt, 1868)",-103.72444,35.17167,890651626,Lycaenidae,Leptotes,Leptotes marina,New Mexico,1981,6,14,1981-06-14,US,Quay
"Leptotes marina (Reakirt, 1868)",-118.526471,34.048064,1148965350,Lycaenidae,Leptotes,Leptotes marina,California,1980,12,1,1980-12-01,US,Los Angeles
"Leptotes marina (Reakirt, 1868)",-95.61609,36.312596,890651617,Lycaenidae,Leptotes,Leptotes marina,Oklahoma,1978,11,6,1978-11-06,US,Rogers
"Leptotes marina (Reakirt, 1868)",-110.78843,32.44313,1039069086,Lycaenidae,Leptotes,Leptotes marina,Arizona,1976,6,14,1976-06-14,US,Pima County
"Leptotes marina (Reakirt, 1868)",-110.93425,31.34038,1039084600,Lycaenidae,Leptotes,Leptotes marina,Arizona,1976,6,12,1976-06-12,US,Santa Cruz County
"Leptotes marina (Reakirt, 1868)",-109.382285,31.929812,863602151,Lycaenidae,Leptotes,Leptotes marina,Arizona,1974,7,8,1974-07-08,US,NA
"Leptotes marina (Reakirt, 1868)",-109.203944,31.882254,1455863528,Lycaenidae,Leptotes,Leptotes marina,Arizona,1974,7,10,1974-07-10,US,Cochise
"Leptotes marina (Reakirt, 1868)",-105.44385,32.95399,1039195652,Lycaenidae,Leptotes,Leptotes marina,New Mexico,1973,6,28,1973-06-28,US,Otero County
"Leptotes marina (Reakirt, 1868)",-98.493332,29.423889,1039175247,Lycaenidae,Leptotes,Leptotes marina,Texas,1971,6,18,1971-06-18,US,Bexar County
"Leptotes marina (Reakirt, 1868)",-119.17071,38.41408,1039080030,Lycaenidae,Leptotes,Leptotes marina,California,1969,8,2,1969-08-02,US,Mono County
"Leptotes marina (Reakirt, 1868)",-97.521549,27.999545,1039055470,Lycaenidae,Leptotes,Leptotes marina,Texas,1968,6,26,1968-06-26,US,San Patricio County
"Leptotes marina (Reakirt, 1868)",-105.44515,38.472972,1148965334,Lycaenidae,Leptotes,Leptotes marina,Colorado,1968,7,4,1968-07-04,US,Fremont
"Leptotes marina (Reakirt, 1868)",-105.44515,38.472972,1148965366,Lycaenidae,Leptotes,Leptotes marina,Colorado,1968,7,4,1968-07-04,US,Fremont
"Leptotes marina (Reakirt, 1868)",-119.592311,34.424853,813416251,Lycaenidae,Leptotes,Leptotes marina,California,1968,8,17,1968-08-17,US,Santa Barbara
"Leptotes marina (Reakirt, 1868)",-116.86306,34.16811,1039063778,Lycaenidae,Leptotes,Leptotes marina,California,1967,7,26,1967-07-26,US,San Bernardino County
"Leptotes marina (Reakirt, 1868)",-99.473,40.368,1913730609,Lycaenidae,Leptotes,Leptotes marina,Nebraska,1966,7,23,1966-07-23,US,Phelps County
"Leptotes marina (Reakirt, 1868)",-99.473,40.368,1039164703,Lycaenidae,Leptotes,Leptotes marina,Nebraska,1966,7,23,1966-07-23,US,Phelps County
"Leptotes marina (Reakirt, 1868)",-118.51675,34.02945,1039157271,Lycaenidae,Leptotes,Leptotes marina,California,1966,8,12,1966-08-12,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-118.51675,34.02945,1039172335,Lycaenidae,Leptotes,Leptotes marina,California,1966,8,3,1966-08-03,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-115.6428,36.25719,1039157422,Lycaenidae,Leptotes,Leptotes marina,Nevada,1965,6,23,1965-06-23,US,Clark County
"Leptotes marina (Reakirt, 1868)",-115.44444,36.29472,1039110793,Lycaenidae,Leptotes,Leptotes marina,Nevada,1965,6,29,1965-06-29,US,Clark County
"Leptotes marina (Reakirt, 1868)",-115.381638,36.421005,1039136986,Lycaenidae,Leptotes,Leptotes marina,Nevada,1965,6,18,1965-06-18,US,Clark County
"Leptotes marina (Reakirt, 1868)",-115.44444,36.29472,1039096713,Lycaenidae,Leptotes,Leptotes marina,Nevada,1965,6,21,1965-06-21,US,Clark County
"Leptotes marina (Reakirt, 1868)",-115.44444,36.29472,1039204652,Lycaenidae,Leptotes,Leptotes marina,Nevada,1965,6,28,1965-06-28,US,Clark County
"Leptotes marina (Reakirt, 1868)",-115.44444,36.29472,1039097353,Lycaenidae,Leptotes,Leptotes marina,Nevada,1965,6,24,1965-06-24,US,Clark County
"Leptotes marina (Reakirt, 1868)",-115.6428,36.25719,1039183090,Lycaenidae,Leptotes,Leptotes marina,Nevada,1965,6,20,1965-06-20,US,Clark County
"Leptotes marina (Reakirt, 1868)",-115.6428,36.25719,1039032640,Lycaenidae,Leptotes,Leptotes marina,Nevada,1965,6,29,1965-06-29,US,Clark County
"Leptotes marina (Reakirt, 1868)",-115.23083,36.04704,1039182489,Lycaenidae,Leptotes,Leptotes marina,Nevada,1965,6,23,1965-06-23,US,Clark County
"Leptotes marina (Reakirt, 1868)",-115.6428,36.25719,1039051211,Lycaenidae,Leptotes,Leptotes marina,Nevada,1965,6,25,1965-06-25,US,Clark County
"Leptotes marina (Reakirt, 1868)",-115.6428,36.25719,1039081866,Lycaenidae,Leptotes,Leptotes marina,Nevada,1965,6,19,1965-06-19,US,Clark County
"Leptotes marina (Reakirt, 1868)",-115.44444,36.29472,1039111135,Lycaenidae,Leptotes,Leptotes marina,Nevada,1965,7,3,1965-07-03,US,Clark County
"Leptotes marina (Reakirt, 1868)",-115.6428,36.25719,1039068056,Lycaenidae,Leptotes,Leptotes marina,Nevada,1965,7,11,1965-07-11,US,Clark County
"Leptotes marina (Reakirt, 1868)",-115.44444,36.29472,1039101784,Lycaenidae,Leptotes,Leptotes marina,Nevada,1965,7,3,1965-07-03,US,Clark County
"Leptotes marina (Reakirt, 1868)",-115.6428,36.25719,1039164741,Lycaenidae,Leptotes,Leptotes marina,Nevada,1965,7,5,1965-07-05,US,Clark County
"Leptotes marina (Reakirt, 1868)",-115.44444,36.29472,1039069155,Lycaenidae,Leptotes,Leptotes marina,Nevada,1965,7,5,1965-07-05,US,Clark County
"Leptotes marina (Reakirt, 1868)",-119.984978,34.743183,1039136662,Lycaenidae,Leptotes,Leptotes marina,California,1962,8,21,1962-08-21,US,Santa Barbara County
"Leptotes marina (Reakirt, 1868)",-116.178461,34.841438,813420178,Lycaenidae,Leptotes,Leptotes marina,California,1960,4,21,1960-04-21,US,NA
"Leptotes marina (Reakirt, 1868)",-116.178461,34.841438,813420179,Lycaenidae,Leptotes,Leptotes marina,California,1960,4,22,1960-04-22,US,NA
"Leptotes marina (Reakirt, 1868)",-116.178461,34.841438,813420261,Lycaenidae,Leptotes,Leptotes marina,California,1960,4,20,1960-04-20,US,NA
"Leptotes marina (Reakirt, 1868)",-97.448633,25.993808,1039199586,Lycaenidae,Leptotes,Leptotes marina,Texas,1959,3,23,1959-03-23,US,Cameron County
"Leptotes marina (Reakirt, 1868)",-109.141418,31.913693,1039088842,Lycaenidae,Leptotes,Leptotes marina,Arizona,1958,5,25,1958-05-25,US,Cochise County
"Leptotes marina (Reakirt, 1868)",-109.141418,31.913693,1039174230,Lycaenidae,Leptotes,Leptotes marina,Arizona,1958,5,22,1958-05-22,US,Cochise County
"Leptotes marina (Reakirt, 1868)",-118.493118,34.088108,1039185901,Lycaenidae,Leptotes,Leptotes marina,California,1956,9,23,1956-09-23,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-110.79044985799744,32.380062011756294,1039121710,Lycaenidae,Leptotes,Leptotes marina,Arizona,1954,3,11,1954-03-11,US,Pima County
"Leptotes marina (Reakirt, 1868)",-110.79044985799744,32.380062011756294,1039153573,Lycaenidae,Leptotes,Leptotes marina,Arizona,1954,3,10,1954-03-10,US,Pima County
"Leptotes marina (Reakirt, 1868)",-110.79044985799744,32.380062011756294,1039062032,Lycaenidae,Leptotes,Leptotes marina,Arizona,1954,3,12,1954-03-12,US,Pima County
"Leptotes marina (Reakirt, 1868)",-110.79044985799744,32.380062011756294,1039025833,Lycaenidae,Leptotes,Leptotes marina,Arizona,1954,3,27,1954-03-27,US,Pima County
"Leptotes marina (Reakirt, 1868)",-110.926445,32.221775,1039105895,Lycaenidae,Leptotes,Leptotes marina,Arizona,1954,3,17,1954-03-17,US,Pima County
"Leptotes marina (Reakirt, 1868)",-110.80981,32.3223,1039038205,Lycaenidae,Leptotes,Leptotes marina,Arizona,1954,3,13,1954-03-13,US,Pima County
"Leptotes marina (Reakirt, 1868)",-110.80981,32.3223,1039187418,Lycaenidae,Leptotes,Leptotes marina,Arizona,1954,3,8,1954-03-08,US,Pima County
"Leptotes marina (Reakirt, 1868)",-110.926445,32.221775,1039072171,Lycaenidae,Leptotes,Leptotes marina,Arizona,1954,3,12,1954-03-12,US,Pima County
"Leptotes marina (Reakirt, 1868)",-110.79044985799744,32.380062011756294,1039095313,Lycaenidae,Leptotes,Leptotes marina,Arizona,1954,3,9,1954-03-09,US,Pima County
"Leptotes marina (Reakirt, 1868)",-110.80981,32.3223,1039175164,Lycaenidae,Leptotes,Leptotes marina,Arizona,1954,3,14,1954-03-14,US,Pima County
"Leptotes marina (Reakirt, 1868)",-110.926445,32.221775,1039092337,Lycaenidae,Leptotes,Leptotes marina,Arizona,1954,3,10,1954-03-10,US,Pima County
"Leptotes marina (Reakirt, 1868)",-110.926445,32.221775,1039177100,Lycaenidae,Leptotes,Leptotes marina,Arizona,1954,4,25,1954-04-25,US,Pima County
"Leptotes marina (Reakirt, 1868)",-116.9328,32.799599,1039048873,Lycaenidae,Leptotes,Leptotes marina,California,1954,6,29,1954-06-29,US,San Diego County
"Leptotes marina (Reakirt, 1868)",-105.30666,40.11054,1039043186,Lycaenidae,Leptotes,Leptotes marina,Colorado,1954,7,12,1954-07-12,US,Boulder County
"Leptotes marina (Reakirt, 1868)",-117.761421,33.546831,1039048863,Lycaenidae,Leptotes,Leptotes marina,California,1954,9,4,1954-09-04,US,Orange County
"Leptotes marina (Reakirt, 1868)",-100.30015575308528,25.670343799981296,1039110715,Lycaenidae,Leptotes,Leptotes marina,Nuevo Leon,1953,4,19,1953-04-19,MX,NA
"Leptotes marina (Reakirt, 1868)",-115.993849,33.74368,1039192124,Lycaenidae,Leptotes,Leptotes marina,California,1951,9,NA,1951-09-01,US,Riverside County
"Leptotes marina (Reakirt, 1868)",-110.879817,31.713129,1039148737,Lycaenidae,Leptotes,Leptotes marina,Arizona,1951,9,7,1951-09-07,US,Santa Cruz County
"Leptotes marina (Reakirt, 1868)",-103.4503,29.0689,1039093048,Lycaenidae,Leptotes,Leptotes marina,Texas,1947,6,26,1947-06-26,US,NA
"Leptotes marina (Reakirt, 1868)",-103.304787,29.217205,1039030862,Lycaenidae,Leptotes,Leptotes marina,Texas,1947,6,27,1947-06-27,US,NA
"Leptotes marina (Reakirt, 1868)",-97.608131,37.033627,1039078159,Lycaenidae,Leptotes,Leptotes marina,Kansas,1944,8,17,1944-08-17,US,Sumner County
"Leptotes marina (Reakirt, 1868)",-118.592262,34.077048,1039205199,Lycaenidae,Leptotes,Leptotes marina,California,1943,7,22,1943-07-22,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-97.608131,37.033627,1039157074,Lycaenidae,Leptotes,Leptotes marina,Kansas,1943,8,15,1943-08-15,US,Sumner County
"Leptotes marina (Reakirt, 1868)",-118.454933,34.058064,1039069259,Lycaenidae,Leptotes,Leptotes marina,California,1943,8,15,1943-08-15,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-117.39616,33.95335,1039182414,Lycaenidae,Leptotes,Leptotes marina,California,1943,8,22,1943-08-22,US,NA
"Leptotes marina (Reakirt, 1868)",-118.454933,34.058064,1039089420,Lycaenidae,Leptotes,Leptotes marina,California,1943,8,16,1943-08-16,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-118.25,34,1039139688,Lycaenidae,Leptotes,Leptotes marina,California,1943,8,22,1943-08-22,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-118.25,34,1039180957,Lycaenidae,Leptotes,Leptotes marina,California,1943,8,16,1943-08-16,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-97.608131,37.033627,1039127319,Lycaenidae,Leptotes,Leptotes marina,Kansas,1943,8,30,1943-08-30,US,Sumner County
"Leptotes marina (Reakirt, 1868)",-118.25,34,1039090769,Lycaenidae,Leptotes,Leptotes marina,California,1943,8,15,1943-08-15,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-97.608131,37.033627,1039124717,Lycaenidae,Leptotes,Leptotes marina,Kansas,1943,9,30,1943-09-30,US,Sumner County
"Leptotes marina (Reakirt, 1868)",-118.39064374748814,34.079964579083146,1039132956,Lycaenidae,Leptotes,Leptotes marina,California,1943,9,19,1943-09-19,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-97.608131,37.033627,1039121305,Lycaenidae,Leptotes,Leptotes marina,Kansas,1943,10,17,1943-10-17,US,Sumner County
"Leptotes marina (Reakirt, 1868)",-118.39064374748814,34.079964579083146,1039162663,Lycaenidae,Leptotes,Leptotes marina,California,1943,10,19,1943-10-19,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-118.39064374748814,34.079964579083146,1039029405,Lycaenidae,Leptotes,Leptotes marina,California,1943,11,3,1943-11-03,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-97.608131,37.033627,1039130731,Lycaenidae,Leptotes,Leptotes marina,Kansas,1941,5,30,1941-05-30,US,Sumner County
"Leptotes marina (Reakirt, 1868)",-102.362309,19.337664,727597838,Lycaenidae,Leptotes,Leptotes marina,Michoacan,1941,7,18,1941-07-18,MX,Tancitaro
"Leptotes marina (Reakirt, 1868)",-102.854987,21.836837,727597863,Lycaenidae,Leptotes,Leptotes marina,Michoacan,1941,8,8,1941-08-08,MX,Apatzingan
"Leptotes marina (Reakirt, 1868)",-102.329155,19.150181,727588056,Lycaenidae,Leptotes,Leptotes marina,Michoacan,1941,8,19,1941-08-19,MX,NA
"Leptotes marina (Reakirt, 1868)",-97.608131,37.033627,1039186043,Lycaenidae,Leptotes,Leptotes marina,Kansas,1941,9,24,1941-09-24,US,Sumner County
"Leptotes marina (Reakirt, 1868)",-118.592262,34.077048,1039172051,Lycaenidae,Leptotes,Leptotes marina,California,1940,6,14,1940-06-14,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-118.119003,34.159206,1039043215,Lycaenidae,Leptotes,Leptotes marina,California,1940,9,15,1940-09-15,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-118.119003,34.159206,1039198374,Lycaenidae,Leptotes,Leptotes marina,California,1940,9,16,1940-09-16,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-86.451529,16.351977,863585144,Lycaenidae,Leptotes,Leptotes marina,NA,1935,4,25,1935-04-25,HN,NA
"Leptotes marina (Reakirt, 1868)",-85.9,16.45,925597904,Lycaenidae,Leptotes,Leptotes marina,NA,1935,4,13,1935-04-13,HN,NA
"Leptotes marina (Reakirt, 1868)",-80.481284,25.44975,1677354984,Lycaenidae,Leptotes,Leptotes marina,Florida,1933,6,24,1933-06-24,US,Miami-Dade County
"Leptotes marina (Reakirt, 1868)",-109.382317,31.929791,1039057370,Lycaenidae,Leptotes,Leptotes marina,Arizona,1932,6,16,1932-06-16,US,Cochise County
"Leptotes marina (Reakirt, 1868)",-109.382317,31.929791,1039107936,Lycaenidae,Leptotes,Leptotes marina,Arizona,1932,6,15,1932-06-15,US,Cochise County
"Leptotes marina (Reakirt, 1868)",-109.585045,33.910648,1039143676,Lycaenidae,Leptotes,Leptotes marina,Arizona,1932,6,16,1932-06-16,US,Apache County
"Leptotes marina (Reakirt, 1868)",-99.205867,19.320684,863592389,Lycaenidae,Leptotes,Leptotes marina,Distrito Federal,1932,6,30,1932-06-30,MX,NA
"Leptotes marina (Reakirt, 1868)",-109.585045,33.910648,1039082510,Lycaenidae,Leptotes,Leptotes marina,Arizona,1932,6,21,1932-06-21,US,Apache County
"Leptotes marina (Reakirt, 1868)",-117.39616,33.95335,1039046964,Lycaenidae,Leptotes,Leptotes marina,California,1931,9,12,1931-09-12,US,NA
"Leptotes marina (Reakirt, 1868)",-118.261017,34.198001,1039133230,Lycaenidae,Leptotes,Leptotes marina,California,1930,7,29,1930-07-29,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-100.90024290427121,38.479964925935704,1039145680,Lycaenidae,Leptotes,Leptotes marina,Kansas,1928,7,26,1928-07-26,US,Scott County
"Leptotes marina (Reakirt, 1868)",-100.90024290427121,38.479964925935704,1039093706,Lycaenidae,Leptotes,Leptotes marina,Kansas,1928,7,12,1928-07-12,US,Scott County
"Leptotes marina (Reakirt, 1868)",-100.90024290427121,38.479964925935704,1039102401,Lycaenidae,Leptotes,Leptotes marina,Kansas,1928,8,2,1928-08-02,US,Scott County
"Leptotes marina (Reakirt, 1868)",-111.134277,33.667549,1039077456,Lycaenidae,Leptotes,Leptotes marina,Arizona,1925,4,29,1925-04-29,US,Gila County
"Leptotes marina (Reakirt, 1868)",-110.808342,31.720287,1039072771,Lycaenidae,Leptotes,Leptotes marina,Arizona,1923,9,21,1923-09-21,US,NA
"Leptotes marina (Reakirt, 1868)",-110.808342,31.720287,1039027042,Lycaenidae,Leptotes,Leptotes marina,Arizona,1923,9,21,1923-09-21,US,Santa Cruz County
"Leptotes marina (Reakirt, 1868)",-110.705345,32.430378,1039114921,Lycaenidae,Leptotes,Leptotes marina,Arizona,1923,9,22,1923-09-22,US,Pima County
"Leptotes marina (Reakirt, 1868)",-110.926445,32.221775,1039090708,Lycaenidae,Leptotes,Leptotes marina,Arizona,1923,10,1,1923-10-01,US,Pima County
"Leptotes marina (Reakirt, 1868)",-106.40728,31.821753,1142346393,Lycaenidae,Leptotes,Leptotes marina,Texas,1914,7,NA,1914-07-01,US,El Paso
"Leptotes marina (Reakirt, 1868)",-112.074039,33.44838,1039065676,Lycaenidae,Leptotes,Leptotes marina,Arizona,1903,NA,NA,1903-01-01,US,Maricopa County
"Leptotes marina (Reakirt, 1868)",-105.960265,32.899532,727588903,Lycaenidae,Leptotes,Leptotes marina,New Mexico,1902,4,17,1902-04-17,US,Otero
"Leptotes marina (Reakirt, 1868)",-105.960265,32.899532,727589044,Lycaenidae,Leptotes,Leptotes marina,New Mexico,1902,5,19,1902-05-19,US,Otero
"Leptotes marina (Reakirt, 1868)",-98.493628,29.424122,813427975,Lycaenidae,Leptotes,Leptotes marina,Texas,1899,7,NA,1899-07-01,US,NA
"Leptotes marina (Reakirt, 1868)",-117.39616,33.95335,1039142743,Lycaenidae,Leptotes,Leptotes marina,California,1891,9,NA,1891-09-01,US,NA
"Leptotes marina (Reakirt, 1868)",-117.39616,33.95335,1039119239,Lycaenidae,Leptotes,Leptotes marina,California,1890,6,NA,1890-06-01,US,NA
"Leptotes marina (Reakirt, 1868)",-111.532715,34.180738,727589019,Lycaenidae,Leptotes,Leptotes marina,Arizona,1700,1,1,1700-01-01,US,NA
"Leptotes marina (Reakirt, 1868)",-111.532715,34.180738,727589017,Lycaenidae,Leptotes,Leptotes marina,Arizona,1700,1,1,1700-01-01,US,NA
"Leptotes marina (Reakirt, 1868)",-119.803967,37.106427,727589016,Lycaenidae,Leptotes,Leptotes marina,California,1700,1,1,1700-01-01,US,NA
"Leptotes marina (Reakirt, 1868)",-119.803967,37.106427,727588902,Lycaenidae,Leptotes,Leptotes marina,California,1700,1,1,1700-01-01,US,NA
"Leptotes marina (Reakirt, 1868)",-111.532715,34.180738,727589020,Lycaenidae,Leptotes,Leptotes marina,Arizona,1700,1,1,1700-01-01,US,NA
"Leptotes marina (Reakirt, 1868)",-111.532715,34.180738,727589018,Lycaenidae,Leptotes,Leptotes marina,Arizona,1700,1,1,1700-01-01,US,NA
"Leptotes marina (Reakirt, 1868)",-98.78247,21.25151,1039182548,Lycaenidae,Leptotes,Leptotes marina,NA,NA,NA,NA,NA,MX,NA
Leptotes cassioides (Boisduval),-86.6189,14.8178,1055983826,Lycaenidae,Leptotes,Leptotes marina,NA,NA,NA,NA,NA,HN,NA
"Leptotes marina (Reakirt, 1868)",-109.041023,31.834983,1039181112,Lycaenidae,Leptotes,Leptotes marina,New Mexico,NA,NA,NA,NA,US,Hidalgo County
"Leptotes marina (Reakirt, 1868)",-117.39616,33.95335,1039110049,Lycaenidae,Leptotes,Leptotes marina,California,NA,NA,NA,NA,US,NA
"Leptotes marina (Reakirt, 1868)",-112.468521,34.540024,1039048755,Lycaenidae,Leptotes,Leptotes marina,Arizona,NA,NA,NA,NA,US,Yavapai County
"Leptotes marina (Reakirt, 1868)",-110.926445,32.221775,1039096400,Lycaenidae,Leptotes,Leptotes marina,Arizona,NA,NA,NA,NA,US,Pima County
"Leptotes marina (Reakirt, 1868)",-118.311607,34.133507,1039103166,Lycaenidae,Leptotes,Leptotes marina,California,NA,NA,NA,NA,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-111.664054,34.293741,1056271942,Lycaenidae,Leptotes,Leptotes marina,Arizona,NA,NA,NA,NA,US,NA
"Leptotes marina (Reakirt, 1868)",-100.69928,26.66664,1039160469,Lycaenidae,Leptotes,Leptotes marina,NA,NA,NA,NA,NA,MX,NA
"Leptotes marina (Reakirt, 1868)",-110.879817,31.713129,1039101180,Lycaenidae,Leptotes,Leptotes marina,Arizona,NA,NA,NA,NA,US,Santa Cruz County
"Leptotes marina (Reakirt, 1868)",-104.98666,38.07501,1039181844,Lycaenidae,Leptotes,Leptotes marina,Colorado,NA,NA,NA,NA,US,NA
"Leptotes marina (Reakirt, 1868)",-103.661015,30.358492,1039138258,Lycaenidae,Leptotes,Leptotes marina,Texas,NA,NA,NA,NA,US,Brewster County
"Leptotes marina (Reakirt, 1868)",-118.261017,34.198001,1039050322,Lycaenidae,Leptotes,Leptotes marina,California,NA,NA,NA,NA,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-110.926445,32.221775,1039200746,Lycaenidae,Leptotes,Leptotes marina,Arizona,NA,NA,NA,NA,US,Pima County
"Leptotes marina (Reakirt, 1868)",-118.39064374748814,34.079964579083146,1039094029,Lycaenidae,Leptotes,Leptotes marina,California,NA,NA,NA,NA,US,Los Angeles County
"Leptotes marina (Reakirt, 1868)",-111.664054,34.293741,1056274997,Lycaenidae,Leptotes,Leptotes marina,Arizona,NA,NA,NA,NA,US,NA
"Leptotes marina (Reakirt, 1868)",-117.318672,34.52071,1039033067,Lycaenidae,Leptotes,Leptotes marina,California,NA,NA,NA,NA,US,San Bernardino County
"Leptotes marina (Reakirt, 1868)",-109.37041263530342,32.00008134331192,1039108687,Lycaenidae,Leptotes,Leptotes marina,Arizona,NA,NA,NA,NA,US,Cochise County
"Nymphalis antiopa (Linnaeus, 1758)",-72.924531,41.307231,2273126789,Nymphalidae,Nymphalis,Nymphalis antiopa,Connecticut,2019,5,11,2019-05-11,US,New Haven County
"Nymphalis antiopa (Linnaeus, 1758)",-135.317153,59.451895,1563367780,Nymphalidae,Nymphalis,Nymphalis antiopa,Alaska,2016,5,13,2016-05-13,US,NA
"Nymphalis antiopa (Linnaeus, 1758)",-72.8151,41.27954,1457533810,Nymphalidae,Nymphalis,Nymphalis antiopa,Connecticut,2016,7,12,2016-07-12,US,New Haven County
"Nymphalis antiopa (Linnaeus, 1758)",-148.14296,64.47528,1302843075,Nymphalidae,Nymphalis,Nymphalis antiopa,Alaska,2016,8,11,2016-08-11,US,NA
"Nymphalis antiopa (Linnaeus, 1758)",-148.29993,64.703626,1500193416,Nymphalidae,Nymphalis,Nymphalis antiopa,Alaska,2015,5,22,2015-05-22,US,NA
"Nymphalis antiopa (Linnaeus, 1758)",-147.740673,64.861007,1699333062,Nymphalidae,Nymphalis,Nymphalis antiopa,Alaska,2015,5,19,2015-05-19,US,NA
"Nymphalis antiopa (Linnaeus, 1758)",-156.82423,64.75178,1229699023,Nymphalidae,Nymphalis,Nymphalis antiopa,Alaska,2015,8,15,2015-08-15,US,NA
"Nymphalis antiopa (Linnaeus, 1758)",-125.75,61.6,1842093163,Nymphalidae,Nymphalis,Nymphalis antiopa,Northwest Territories,2014,6,16,2014-06-16,CA,NA
"Nymphalis antiopa (Linnaeus, 1758)",-122.83,39.72,1262928187,Nymphalidae,Nymphalis,Nymphalis antiopa,California,2014,6,5,2014-06-05,US,Mendocino County
"Nymphalis antiopa (Linnaeus, 1758)",-140.16,69.16,1842093377,Nymphalidae,Nymphalis,Nymphalis antiopa,Yukon Territory,2014,9,29,2014-09-29,CA,NA
"Nymphalis antiopa (Linnaeus, 1758)",-148.294855,64.70275,1502511078,Nymphalidae,Nymphalis,Nymphalis antiopa,Alaska,2013,7,18,2013-07-18,US,NA
"Nymphalis antiopa (Linnaeus, 1758)",-148.294855,64.70275,1502511146,Nymphalidae,Nymphalis,Nymphalis antiopa,Alaska,2013,7,18,2013-07-18,US,NA
"Nymphalis antiopa (Linnaeus, 1758)",-114.176,53.494,1420311612,Nymphalidae,Nymphalis,Nymphalis antiopa,Alberta,2013,8,12,2013-08-12,CA,NA
"Nymphalis antiopa (Linnaeus, 1758)",-148.300807,64.703177,1502513190,Nymphalidae,Nymphalis,Nymphalis antiopa,Alaska,2013,8,16,2013-08-16,US,NA
